seller_state,customer_state,n,avg_promise,avg_actual,avg_gap,ontime_rate
SP,AL,255,32.26,25.05,7.21,0.7373
SP,AM,99,44.49,25.85,18.64,0.9596
SP,AP,49,45.88,28.1,17.79,0.9388
SP,BA,2307,29.87,19.81,10.05,0.8505
SP,CE,969,31.44,21.26,10.18,0.8473
SP,DF,1383,24.04,13.26,10.78,0.9176
SP,ES,1461,24.63,15.79,8.83,0.8583
SP,GO,1420,26.83,16.02,10.81,0.9077
SP,MA,491,30.67,22.07,8.61,0.7882
SP,MG,7440,24.33,12.36,11.97,0.9366
SP,MS,477,25.43,15.95,9.48,0.8532
SP,MT,653,31.62,17.73,13.89,0.9326
SP,PA,681,36.65,23.28,13.37,0.8678
SP,PB,336,32.98,20.68,12.3,0.8899
SP,PE,1133,31.83,18.92,12.91,0.8923
SP,PI,329,30.21,20.34,9.87,0.8176
SP,PR,3119,25.12,12.78,12.35,0.9465
SP,RJ,8158,26.4,16.28,10.12,0.8451
SP,RN,332,32.72,20.46,12.26,0.8795
SP,RO,169,38.7,19.38,19.32,0.9704
SP,RR,33,45.44,31.62,13.82,0.8485
SP,RS,3596,29.66,16.17,13.49,0.9241
SP,SC,2327,26.1,15.83,10.27,0.89
SP,SE,208,30.04,21.32,8.72,0.8365
SP,SP,30735,17.32,7.95,9.38,0.9378
SP,TO,198,28.56,17.75,10.81,0.8737
